FID,id,bald,Bald_U,bald_num,Shape,VEG,BALD_,BALDNAME,X,Y,Area,Acres,area,Hectares,ZONING
77,50,49E,49E,78,Polygon,SSr,49,Upper Branch Bald,463947.5013,3002031.233,7004.292956,1.730798,0.700429,0.700429,3
75,51,49W,49W,76,Polygon,SSr,49,Upper Branch Bald,463907.7579,3002075.546,31.835976,0.007867,0.003184,0.003184,3
74,52,50,50,75,Polygon,SSr,50,Euphorbia Bald,464024.8313,3001948.679,3777.538987,0.93345,0.3778,0.377754,2
72,53,51,51,73,Polygon,SSr,51,Huckelberry Bald,463942.7333,3001886.089,582.749956,0.144001,0.0583,0.058275,3
71,54,52,52,72,Polygon,SSr,52,Paw Paw Bald,463966.2874,3001763.747,420.261718,0.103849,0.042,0.042026,1
79,55,53,53,80,Polygon,SSr,53,Hillside Bald,464689.2852,3002232.484,1993.234355,0.492539,0.1993,0.199323,2
78,56,54,54,79,Polygon,SSr,54,Big Eryngium Bald,464602.3674,3001923.035,35937.68745,8.880396,3.5938,3.593769,3
76,57,55,55,77,Polygon,SSr,55,Dense Bald,464790.9474,3002076.046,4187.363302,1.03472,0.4187,0.418736,3
70,58,57,57,71,Polygon,SSr,57,Small-But-Beautiful Bald,464261.3385,3001717.685,946.468762,0.233878,0.0946,0.094647,2
68,59,58,58,69,Polygon,SSr,58,Mesa Bald,464184.0309,3001623.72,1657.734406,0.409635,0.1658,0.165773,1
66,60,59,59,67,Polygon,SSr,59,Endemics Bald,463804.8641,3001542.342,3671.507775,0.907249,0.3672,0.367151,3
67,61,60,60,68,Polygon,SSr,60,Anne's Bald,464492.6188,3001566.277,5722.502495,1.414061,0.5723,0.57225,3
65,62,61,61,66,Polygon,SSr,61,Hypericum Bald,464642.8836,3001530.396,2488.281228,0.614868,0.2488,0.248828,2
63,63,62N,62N,64,Polygon,SSr,62,Biologist's Bald,464389.5252,3001463.253,985.511761,0.243525,0.5485,0.098551,2
58,64,63,63,59,Polygon,SSr,63,South Euphorbia Bald,464333.9195,3001293.544,1671.144547,0.412949,0.1671,0.167114,2
50,65,65E,65,51,Polygon,SSr,65,Burmania Bald,463853.5368,3000920.883,9861.297946,2.43678,0.9861,0.98613,1
53,66,66,66,54,Polygon,SSr,66,Half Burn Bald,464243.5944,3001058.412,6134.089703,1.515767,0.6134,0.613409,3
54,67,67,67,55,Polygon,SSr,67,All Burn Bald,464339.5861,3001059.346,5972.000037,1.475713,0.5972,0.5972,3
52,68,68,68,53,Polygon,SSr,68,Unburned Bald,464459.9429,3001032.47,6755.757824,1.669384,0.6756,0.675576,1
48,69,69,69,49,Polygon,SSr,69,Blue Curls Bald,464545.9234,3000969.912,639.359349,0.157989,0.0639,0.063936,3
49,70,70N,70,50,Polygon,SSr,70,Tortoise Shell Bald,464665.3944,3000952.126,3534.891143,0.873491,0.3535,0.353489,3
43,71,72N,72,44,Polygon,SSr,72,Crossroads Bald,464544.0014,3000807.309,11264.66459,2.783559,1.1265,1.126466,2
46,72,73,73,47,Polygon,SSr,73,Corner Burned Bald,464376.5089,3000925.222,1167.953193,0.288608,0.1168,0.116795,2
37,73,76,76,38,Polygon,SSr,76,Panther Bald,464422.0109,3000741.049,1174.777307,0.290294,0.1175,0.117478,2
40,74,77,77,41,Polygon,SSr,77,Lonely Bald,464298.6006,3000796.885,732.308588,0.180957,0.0732,0.073231,1
42,75,78,78,43,Polygon,SSr,78,Big Pond Bald,464144.6535,3000845.42,1714.566363,0.423679,0.1715,0.171457,1
39,76,79,79,40,Polygon,SSr,79,Blowdown Bald,464113.8521,3000717.753,6174.957008,1.525865,0.6175,0.617496,2
27,77,80,80,28,Polygon,SSr,80,Long Bald,464066.8244,3000518.473,9826.843763,2.428266,0.9827,0.982684,2
24,78,81,81,25,Polygon,SSr,81,Vicious Cactus Bald,464175.7403,3000560.618,2343.335821,0.579051,0.2343,0.234334,2
31,79,82,82,32,Polygon,SSr,82,Spared Bald,464434.8171,3000657.72,1759.99225,0.434904,0.176,0.175999,3
29,80,83,83,30,Polygon,SSr,83,Polygonella Bald,464529.026,3000668.704,664.574203,0.16422,0.0665,0.066457,3
25,81,85N,85,26,Polygon,SSr,85,Burned Ridge Bald,464444.5239,3000462.212,19899.52316,4.917279,1.99,1.989952,3
19,82,87,87,20,Polygon,SSr,87,Few Cactus Bald,464600.5565,3000348.61,1677.371135,0.414487,0.1677,0.167737,2
20,83,88,88,21,Polygon,SSr,88,Three Ponds Bald,464288.9161,3000395.415,2668.359369,0.659366,0.2668,0.266836,3
13,84,89,89,14,Polygon,SSr,89,Straight Bald,464264.6057,3000281.769,2066.652314,0.510681,0.2067,0.206665,2
12,85,90,90,13,Polygon,SSr,90,Scrub Knoll Bald,464335.9614,3000213.623,5149.457052,1.272459,0.5149,0.514946,2
10,86,91,91,11,Polygon,SSr,91,Lechea Hill Bald,464118.2452,3000141.589,8109.808611,2.003977,0.811,0.810981,3
6,87,92,92,7,Polygon,SSr,92,Cutoff Bald,463898.5687,2999999.132,3531.289032,0.872601,0.3531,0.353129,3
5,88,93,93,6,Polygon,SSr,93,South Perforata Bald,464132.0408,2999929.614,7001.050839,1.729997,0.7001,0.700105,1
69,89,94,94,70,Polygon,SSr,94,Latex bald,463825.0654,3001678.631,565.76954,0.139805,0.0566,0.056577,3
17,90,95W,95W,18,Polygon,SSr,95,Twice Burned Bald,464090.5087,3000323.516,3465.839929,0.856428,0.3537,0.346584,3
138,91,97,97,139,Polygon,SSr,97,Lakeview/Lake Annie Bald,464771.259,3009490.075,7364.890517,1.819904,0.7365,0.736489,2
137,92,99,99,138,Polygon,SSr,99,Christmas Tree Bald,464629.3358,3009462.345,250.367212,0.061867,0.025,0.025037,3
